,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
4237,"""distributed systems : concurrency and consistency""","""perrin, matthieu""","""kidington, oxford, uk""","""electronic books.""",9780081023174,"""nan""","""1 online resource""",b
4238,"""lectures in game theory for computer scientists""","""apt, krzysztof r., | grã¤del, erich,""","""cambridge ; cambridge university press, â©2011.""","""electronic books.""",9781139010276,"""nan""","""1 online resource (xii, 295 pages)""",b
4239,"""genetic and evolutionary computation : medical applications""","""smith, stephen l., | cagnoni, stefano,""","""chichester, u.k.""","""electronic books.""",9780470973141,"""nan""","""1 online resource (233 pages)""",b
4240,"""profit drive business analytics : a practitioner's guide to transforming big data into added value""","""verbeke, wouter, 1983-""","""hoboken, new jersey""","""electronic books.""",9781119286998,"""nan""","""1 online resource.""",b
4241,"""recent advances in information technology : rait-2014 proceedings""","""biswas, g. p., | mukhopadhyay, sushanta,""","""new delhi""","""electronic books.""",9788132218562,"""advances in intelligent systems and computing ; v.266. 2194-5357""","""1 online resource (xix, 147 pages)""",b
4242,"""broadband quantum cryptography""","""rogers, daniel j.""","""[san rafael, calif.]""","""electronic books.""",9781608450602,"""synthesis lectures on quantum computing ; #3.""","""1 online resource (ix, 83 pages)""",b
4243,"""applied regression analysis and generalized linear models""","""fox, john, 1947-""","""los angeles""","""nan""",9780761930426,"""nan""","""xxi, 665 p.""",b
4244,"""computational aerosciences in the 21st century : proceedings of the icaselarcnsfaro workshop, conducted by the institute for computer applications in science and engineering,...""","""salas, m. d. | anderson, w. kyle.""","""dordrecht""","""electronic books.""",9789401009485,"""icase/larc interdisciplinary series in science and engineering ; 8.""","""1 online resource (ix, 292 p.).""",b
4245,"""graph drawing and network visualization : 23rd international symposium, gd 2015, los angeles, ca, usa, september 24-26, 2015, revised selected papers""","""di giacomo, emilio, | lubiw, anna,""","""cham""","""electronic books.""",9783319272610,"""lecture notes in computer science ; 9411. 0302-9743 lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (xix, 566 p.)""",b
4246,"""law of electronic commercial transactions : contemporary issues in the eu, us and china""","""wang, faye fangfei.""","""london ; routledge, 2010.""","""nan""",9780415557450,"""nan""","""xiv, 270 p. ; 25 cm.""",b
4247,"""expert c# 2008 business objects""","""lhotka, rockford.""","""berkeley, ca""","""electronic books.""",9781430210207,"""nan""","""xxx, 768 p.""",b
4248,"""broadband quantum cryptography""","""rogers, daniel j.""","""[san rafael, calif.]""","""nan""",9781608450596,"""synthesis lectures on quantum computing ; #3.""","""ix, 83 p.""",b
4249,"""information processing by biochemical systems : neural network-type configurations""","""filo, orna.""","""hoboken, n.j.""","""nan""",9780470500941,"""nan""","""xviii, 148 p.""",b
4250,"""natural language annotation for machine learning""","""pustejovsky, j. (james)""","""sebastopol, ca""","""nan""",9781449306663,"""nan""","""xiv, 326 p. ; 23 cm.""",b
4251,"""information processing with evolutionary algorithms : from industrial applications to academic speculations""","""graã±a, manuel,""","""london ; springer, c2005.""","""electronic books.""",9781846281174,"""advanced information and knowledge processing""","""xviii, 330 p.""",b
4252,"""allocation of forces, fires, and effects using genetic algorithms""","""pernin, christopher g.,""","""santa monica, ca""","""nan""",9780833044792,"""technical report (rand corporation) ; tr-423-a.""","""xv, 62 p.""",b
4253,"""uml 2 certification guide : fundamental and intermediate exams""","""weilkiens, tim.""","""amsterdam ; elsevier/morgan kaufmann, c2007.""","""electronic books.""",9780080466514,"""morgan kaufmann omg press.""","""1 online resource (xxi, 294 p.)""",b
4254,"""exchange server 2010 portable command guide : mcts 70-662 and mcitp 70-663""","""robb, richard.""","""indianapolis, ind.""","""electronic books.""",9780132601634,"""nan""","""1 online resource (xvii, 379 p.)""",b
4255,"""development with the force.com platform : building business applications in the cloud""","""ouellette, jason, 1973-""","""upper saddle river, nj""","""electronic books.""",9780132685047,"""nan""","""1 online resource (xv, 464 p.)""",b
4256,"""the spanish language in the digital age = la lengua espanãµla en la era digital""","""melero, maite.""","""berlin ; springer, c2012.""","""electronic books.""",9783642308413,"""nan""","""1 online resource.""",b
