,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
0,"""statistical learning and data science""","""edited by mireille gettler summa ... [and others]""","""boca raton : crc press, [2012] ©2012""","""books""",9781439867631,"""series in computer science and data analysis,""","""xv, 227 p.""",ab
1,"""intelligent techniques for data science""","""rajendra akerkar, priti srinivas sajja""","""cham, switzerland : springer, 2016.""","""electronic books.""",9783319292069,"""nan""","""1 online resource (xvi, 272 pages)""",ab
2,"""algorithms for data science""","""brian steele, john chandler, swarna reddy""","""cham, switzerland : springer, 2016.""","""electronic books.""",9783319457970,"""nan""","""1 online resource (xxiii, 430 pages)""",ab
3,"""data science at the command line""","""janssens, jeroen""","""first edition. sebastopol, ca : o'reilly, 2014. ©2015""","""books""",9781491947852,"""nan""","""xvii, 191 pages""",ab
5,"""introduction to hpc with mpi for data science""","""nielsen, frank""","""cham : springer, 2016.""","""electronic books.""",9783319219035,"""undergraduate topics in computer science, 1863-7310""","""1 online resource (xxxiii, 282 pages)""",ab
6,"""data science using oracle data miner and oracle r enterprise : transform your business systems into an analytical powerhouse""","""das, sibanjan.""","""berkeley, ca : apress, 2016. berkeley, ca : apress, 2016.""","""electronic books.""",9781484226148,"""nan""","""1 online resource (300 pages)""",ab
7,"""the data science handbook""","""cady, field, 1984-""","""hoboken, nj : john wiley & sons, inc., 2017.""","""electronic books. | handbooks and manuals.""",9781119092933,"""nan""","""1 online resource""",ab
8,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca] : apress, 2016.""","""electronic books.""",9781484222539,"""nan""","""1 online resource""",ab
9,"""spatial big data science : classification techniques for earth observation imagery""","""zhe jiang, shashi shekhar""","""cham : springer, 2017.""","""electronic books.""",9783319601953,"""nan""","""1 online resource""",ab
10,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""electronic books.""",9781783980246,"""nan""","""1 online resource""",ab
11,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",ab
12,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""electronic books.""",9781783980246,"""nan""","""1 online resource""",ab
13,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",ab
14,"""data science and big data computing : frameworks and methodologies""","""zaigham mahmood, editor""","""switzerland : springer, 2016.""","""electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)""",ab
17,"""data science and big data : an environment of computational intelligence""","""witold pedrycz, shyi-ming chen, editors""","""cham : springer, [2017]. ©2017""","""electronic books.""",9783319534749,"""studies in big data ; v. 24,""","""1 online resource (viii, 303 pages).""",ab
18,"""python for r users : a data science approach""","""ohri, a. (ajay)""","""hoboken, nj : john wiley & sons, 2017.""","""electronic books.""",9781119126805,"""nan""","""1 online resource""",ab
22,"""soft methods for data science""","""edited by maria brigida ferraro, paolo giordani, barbara vantaggi, marek gagolewski, maría ángeles gil, przemysław grzegorzewski, olgierd hryniewicz""","""cham : springer international publishing : imprint : springer, 2017.""","""electronic books. | conference papers and proceedings.""",9783319429724,"""advances in intelligent systems and computing ; v. 456.""","""1 online resource.""",ab
24,"""the data science design manual""","""skiena, steven s.""","""cham, switzerland : springer, 2017.""","""electronic books.""",9783319554440,"""texts in computer science,undergraduate texts in computer science,""","""1 online resource (xvii, 445 pages)""",ab
30,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca] : apress, 2016.""","""books""",9781484222539,"""nan""","""xix, 251 pages""",ab
31,"""federal data science : transforming government and agricultural policy using artificial intelligence""","""edited by feras a. batarseh, ruixin yang""","""london : academic press, 2018.""","""electronic books.""",9780128124444,"""nan""","""1 online resource""",ab
32,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk : packt publishing, 2015. ©2015""","""electronic books.""",9781784392628,"""community experience distilled,""","""1 online resource""",ab
33,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk : packt publishing, 2015. ©2015""","""electronic books.""",9781784392628,"""community experience distilled,""","""1 online resource""",ab
34,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",ab
36,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",ab
40,"""process mining : data science in action""","""aalst, wil van der""","""second edition. heidelberg : springer, 2016.""","""electronic books.""",9783662498514,"""nan""","""1 online resource (xix, 467 pages)""",ab
47,"""advanced statistical methods in data science""","""ding-geng (din) chen, jiahua chen, xuewen lu, grace y. yi, hao yu, editors""","""singapore : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9789811025945,"""icsa book series in statistics,""","""1 online resource.""",ab
55,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",ab
80,"""big data at work : the data science revolution and organizational psychology""","""edited by scott tonidandel, eden b. king, and jose m. cortina""","""new york : routledge, taylor & francis group, 2016.""","""books""",9781848725812,"""organizational frontiers series,frontiers of industrial and organizational psychology,""","""xiii, 367 pages""",ab
112,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : wiley, 2014. ©2014""","""electronic books.""",9781118892718,"""wiley and sas business series,""","""1 online resource.""",ab
113,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : wiley, [2014]""","""electronic books.""",9781119204183,"""wiley and sas business series,""","""1 online resource.""",ab
114,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : john wiley & sons, inc., [2014]""","""electronic books.""",9781118892701,"""wiley and sas business series,""","""1 online resource.""",ab
117,"""introduction to data science for social and policy research : collecting and organizing data with r and python""","""magallanes reyes, jose manuel""","""cambridge, united kingdom ; new york, ny : cambridge university press, 2017. ©2017""","""electronic books.""",9781107117419,"""nan""","""1 online resource""",ab
119,"""data science : innovative developments in data analysis and clustering""","""francesco palumbo, angela montanari, maurizio vichi, editors""","""cham : springer, [2017]. ©2017""","""electronic books.""",9783319557236,"""studies in classification, data analysis, and knowledge organization,""","""1 online resource.""",ab
121,"""soft computing in data science : third international conference, scds 2017, yogyakarta, indonesia, november 27-28, 2017, proceedings""","""azlinah mohamed, michael w. berry, bee wah yap (eds.)""","""singapore : springer, 2017.""","""electronic books.""",9789811072420,"""communications in computer and information science ; 788. 1865-0929""","""1 online resource (xvxv, 317 pages)""",ab
146,"""mathematical problems in data science : theoretical and practical methods""","""li m. chen, zhixun su, bo jiang""","""cham : springer, 2015.""","""electronic books.""",9783319251271,"""nan""","""1 online resource (xv, 213 pages)""",ab
151,"""cyber-risk informatics : engineering evaluation with data science""","""sahinoglu, mehmet, 1951-""","""hoboken, new jersey : wiley, 2016.""","""electronic books.""",9781119087526,"""nan""","""1 online resource""",ab
152,"""game theory for data science : eliciting truthful information""","""boi faltings, goran radanovic""","""[san rafael, california] : morgan & claypool publishers, [2017] ©2017""","""electronic books.""",9781627056083,"""synthesis lectures on artificial intelligence and machine learning ; # 35. 1939-4616""","""1 online resource (xv, 135 pages)""",ab
172,"""beginning data science in r : data analysis, visualization, and modelling for the data scientist""","""mailund, thomas""","""new york : apress, [2017]. ©2017""","""electronic books.""",9781484226711,"""nan""","""1 online resource""",ab
174,"""data smart : using data science to transform information into insight""","""foreman, john w.""","""indianapolis : wiley, [2014] ©2014""","""books""",9781118839867,"""nan""","""xx, 409 pages""",ab
178,"""data smart : using data science to transform information into insight""","""foreman, john w.""","""indianapolis, in : john wiley & sons, [2014] ©2014""","""books""",9781118661468,"""nan""","""xx, 409 pages""",ab
182,"""data smart : using data science to transform information into insight""","""foreman, john w.""","""indianapolis, in : john wiley & sons, inc., [2014] ©2014""","""books""",9781118661468,"""nan""","""xx, 409 pages""",ab
185,"""r for data science : import, tidy, transform, visualize, and model data""","""hadley wickham & garrett grolemund""","""first edition. sebastopol, ca : o'reilly media, 2016. ©2017""","""books""",9781491910368,"""nan""","""xxv, 492 pages""",ab
187,"""r for data science : import, tidy, transform, visualize, and model data""","""hadley wickham and garrett grolemund""","""first edition. sebastopol, ca : o'reilly media, 2016. ©2017""","""books""",9781491910399,"""nan""","""xxv, 492 pages""",ab
195,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey : pearson education, 2015. ©2016""","""electronic books.""",9780133886436,"""nan""","""1 online resource""",ab
196,"""introduction to data science : a python approach to concepts, techniques and applications""","""laura igual, santi seguí ; with contributions from jordi vitrià... [et al.]""","""cham, switzerland : springer, 2017.""","""electronic books.""",9783319500171,"""undergraduate topics in computer science,""","""1 online resource.""",ab
203,"""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states] : apress, 2017. new york, ny : distributed to the book trade worldwide by springer, ©2017""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)""",ab
210,"""metaprogramming in r : advanced statistical programming for data science, analysis, and finance""","""mailund, thomas.""","""[united states] : apress, 2017.""","""electronic books.""",9781484228814,"""nan""","""1 online resource""",ab
216,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey : pearson education, 2015. ©2016""","""statistics. | statistics.""",9780133886436,"""nan""","""xiii, 337 pages""",ab
217,"""computer age statistical inference : algorithms, evidence, and data science""","""bradley efron, stanford university, california, trevor hastie, stanford university, california""","""new york, ny : cambridge university press, 2016.""","""electronic books.""",9781107149892,"""institute of mathematical statistics monographs ; 5,""","""1 online resource (xx, 475 pages)""",ab
218,"""computer age statistical inference : algorithms, evidence, and data science""","""bradley efron [and] trevor hastie""","""new york : cambridge university press, 2016. ©2016.""","""electronic books.""",9781316576533,"""institute of mathematical statistics monographs ; 5,""","""1 online resource (xx, 475 pages)""",ab
230,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey : pearson education, 2015. ©2016""","""electronic books.""",9780133886436,"""nan""","""1 online resource""",ab
231,"""advances in data science and classification : proceedings of the 6th conference of the international federation of classification societies (ifcs-98), università ""la sapienza"", rome, 21-24 july, 1998""","""alfredo rizzi, maurizio vichi, hans-hermann bock, eds""","""berlin ; new york : springer, [1998] ©1998""","""electronic books.""",9783540646419,"""studies in classification, data analysis, and knowledge organization,""","""1 online resource (xv, 682 pages)""",ab
232,"""trends in applied knowledge-based systems and data science : 29th international conference on industrial engineering and other applications of applied intelligent systems, iea/aie 2016, morioka, japan, august 2-4, 2016, proceedings""","""fujita, hamido, | ali, moonis, | selamat, ali, | sasaki, jun, | kurematsu, masaki,""","""switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319420073,"""lecture notes in computer science. lecture notes in artificial intelligence ; 9799,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xviii, 1021 pages)""",ab
236,"""soft computing in data science : second international conference, scds 2016, kuala lumpur, malaysia, september 21-22, 2016, proceedings""","""berry, michael w., | hj. mohamed, azlinah, | wah, yap bee,""","""singapore : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9789811027772,"""communications in computer and information science ; 652. 1865-0929""","""1 online resource (xix, 311 pages)""",ab
240,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : wiley, 2014. ©2014""","""electronic books.""",9781118892718,"""wiley and sas business series,""","""1 online resource.""",ab
241,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : wiley, [2014]""","""electronic books.""",9781119204183,"""wiley and sas business series,""","""1 online resource.""",ab
242,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey : john wiley & sons, inc., [2014]""","""electronic books.""",9781118892701,"""wiley and sas business series,""","""1 online resource.""",ab
253,"""statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""miller, james d., (software consultant)""","""birmingham, uk : packt publishing, 2017. ©2017""","""electronic books.""",9781788295345,"""nan""","""1 online resource""",ab
268,"""docker for data science : building scalable and extensible data infrastructure around the jupyter notebook server""","""cook, joshua.""","""[s.l.] : apress, 2017.""","""electronic books.""",9781484230121,"""nan""","""1 online resource""",ab
269,"""soft computing in data science : first international conference, scds 2015, putrajaya, malaysia, september 2-3, 2015, proceedings""","""berry, michael w., | mohamed, azlinah hj., | wah, yap bee,""","""singapore : springer, 2015.""","""electronic books.""",9789812879363,"""communications in computer and information science ; 545. 1865-0929""","""1 online resource (xi, 270 pages)""",ab
278,"""fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection""","""bart baesens, veronique van vlasselaer, wouter verbeke""","""hoboken, new jersey : john wiley & sons, 2015. ©2015""","""electronic books.""",9781119146834,"""wiley and sas business series,""","""1 online resource.""",ab
279,"""fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection""","""bart baesens, veronique van vlasselaer, wouter verbeke""","""hoboken, new jersey : john wiley & sons, inc., [2015]""","""electronic books.""",9781119146827,"""wiley and sas business series,""","""1 online resource.""",ab
281,"""advanced object-oriented programming in r : statistical programming for data science, analysis and finance""","""mailund, thomas""","""[new york] : springer science and business media : apress, [2017]""","""electronic books.""",9781484229194,"""nan""","""1 online resource""",ab
282,"""advanced object-oriented programming in r : statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states] : apress, 2017.""","""electronic books.""",9781484228814,"""nan""","""1 online resource""",ab
285,"""recent applications of harmonic analysis to function spaces, differential equations, and data science : novel methods in harmonic analysis. volume 2""","""isaac pesenson, quoc thong le gia, azita mayeli, hrushikesh mhaskar, ding-xuan zhou, editors""","""cham : birkhäuser, 2017.""","""electronic books.""",9783319555560,"""applied and numerical harmonic analysis,""","""1 online resource.""",ab
309,"""availability, reliability, and security in information systems : ifip wg 8.4, 8.9, tc 5 international cross-domain conference, cd-ares 2016, and workshop on privacy aware machine learning for health data science, paml 2016, salzburg, austria, august 31 - september 2, 2016, proceedings""","""buccafurri, francesco, | holzinger, andreas, | kieseberg, peter, | tjoa, a. min, | weippl, edgar r.,""","""switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319455075,"""lecture notes in computer science ; 9817. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xii, 267 pages)""",ab
329,"""creativity in intelligent, technologies and data science : first conference, cit&ds 2015, volgograd, russia, september 15-17, 2015, proceedings""","""kravets, alla, | shcherbakov, maxim, | kultsova, marina, | shabalina, olga,""","""[cham] : springer, [2015].""","""electronic books.""",9783319237664,"""communications in computer and information science ; 535. 1865-0929""","""1 online resource (xvi, 865 pages)""",ab
330,"""data science : 30th british international conference on databases, bicod 2015, edinburgh, uk, july 6-8, 2015, proceedings""","""sebastian maneth (ed.)""","""cham : springer, 2015.""","""electronic books. | conference papers and proceedings.""",9783319204246,"""lecture notes in computer science ; 9147. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xx, 221 pages)""",ab
331,"""creativity in intelligent technologies and data science : second conference, cit&ds 2017, volgograd, russia, september 12-14, 2017, proceedings""","""kravets, alla, | shcherbakov, maxim, | kultsova, marina, | groumpos, peter p.,""","""cham, switzerland : springer, 2017.""","""electronic books.""",9783319655512,"""communications in computer and information science ; 754. 1865-0929""","""1 online resource (xvii, 887 pages)""",ab
336,"""data science : third international conference of pioneering computer scientists, engineers and educators, icpcsee 2017, changsha, china, september 22-24, 2017, proceedings. part ii""","""zou, beiji, | han, qilong, | sun, guanglu, | jing, weipeng | peng, xiaoning, | lu, zeguang,""","""singapore : springer, 2017.""","""electronic books.""",9789811063886,"""communications in computer and information science ; 728. 1865-0929""","""1 online resource (xxvi, 587 pages)""",ab
338,"""data science : third international conference of pioneering computer scientists, engineers and educators, icpcsee 2017, changsha, china, september 22-24, 2017, proceedings. part...""","""zou, beiji, | han, qilong, | sun, guanglu, | jing, weipeng | peng, xiaoning, | lu, zeguang,""","""singapore : springer, 2017.""","""electronic books.""",9789811063855,"""communications in computer and information science ; 728. 1865-0929""","""1 online resource (xxvi, 587 pages)""",ab
345,"""data science : third international conference of pioneering computer scientists, engineers and educators, icpcsee 2017, changsha, china, september 22-24, 2017, proceedings. part ii""","""zou, beiji, | li, min, | wang, hongzhi, | song, xianhua, | xie, wei, | lu, zeguang,""","""singapore : springer, 2017.""","""electronic books.""",9789811063886,"""communications in computer and information science ; 727. 1865-0929""","""1 online resource (xxv, 769 pages)""",ab
347,"""data science : third international conference of pioneering computer scientists, engineers and educators, icpcsee 2017, changsha, china, september 22-24, 2017, proceedings. part...""","""zou, beiji, | li, min, | wang, hongzhi, | song, xianhua, | xie, wei, | lu, zeguang,""","""singapore : springer, 2017.""","""electronic books.""",9789811063855,"""communications in computer and information science ; 727. 1865-0929""","""1 online resource (xxv, 769 pages)""",ab
378,"""the feedback loop : using formative assessment data for science teaching and learning""","""erin marie furtak, howard m. glasser, zora m. wolfe""","""arlington, virginia : nsta press, national science teachers association, [2016]""","""books""",9781941316146,"""nan""","""xv, 175 pages ; 28 cm""",ab
379,"""computer presentation of data in science : a do-it-yourself guide, based on the apple macintosh, for authors and illustrators in the sciences""","""by doig simmonds and linda reynolds""","""dordrecht ; boston : kluwer academic publishers, [1989] ©1989""","""electronic books.""",9780898384154,"""nan""","""1 online resource (xiv, 178 p.)""",ab
388,"""presentation of data in science : publications, slides, posters, overhead projections, tape slides, television : principles and practices for authors and teachers""","""by linda reynolds and doig simmonds""","""the hague ; boston : m. nijhoff ; boston : distributors for the united states and canada, kluwer boston, 1981.""","""books""",9024723981,"""nan""","""xxii, 209 p.""",ab
390,"""presentation of data in science : publications, slides, posters, overhead projections, tape slides, television : principles and practices for authors and teachers""","""by linda reynolds and doig simmonds""","""the hague ; boston : m. nijhoff ; boston : distributors for the united states and canada, kluwer boston, 1981.""","""electronic books.""",9789400983540,"""nan""","""1 online resource (232 pages)""",ab
391,"""optimization and applications in control and data sciences : in honor of boris t. polyak's 80th birthday""","""goldengorin, boris, | poliï¸ aï¸¡k, b. t.""","""switzerland : springer, 2016.""","""electronic books.""",9783319420561,"""springer optimization and its applications ; v. 115,""","""1 online resource.""",ab
394,"""statistical learning and data sciences : third international symposium, slds 2015, egham, uk, april 20-23, 2015, proceedings""","""alexander gammerman, vladimir vovk, harris papadopoulos (eds.)""","""cham : springer, 2015.""","""electronic books. | conference papers and proceedings.""",9783319170916,"""lecture notes in computer science ; 9047,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,""","""1 online resource (xiv, 444 pages)""",ab
400,"""advances in computing and data sciences : first international conference, icacds 2016, ghaziabad, india, november 11-12, 2016, revised selected papers""","""singh, mayank, | gupta, p. k. | tyagi, vipin, | sharma, arun, | ãren, tuncer i., | grosky, william,""","""singapore : springer, 2017.""","""electronic books.""",9789811054273,"""communications in computer and information science ; 721. 1865-0929""","""1 online resource (xxiv, 638 pages)""",ab
416,"""multivariate analysis of data in sensory science""","""edited by tormod naes and einar risvik""","""amsterdam ; new york : elsevier, 1996.""","""electronic books.""",9780444899569,"""data handling in science and technology ; v. 16,""","""1 online resource (xvi, 348 p.)""",ab
417,"""multivariate analysis of data in sensory science""","""edited by tormod næs and einar risvik""","""amsterdam ; new york : elsevier, 1996.""","""electronic books.""",9780444899569,"""data handling in science and technology ; v. 16,""","""1 online resource (xvi, 348 p.)""",ab
573,"""communicating science and engineering data in the information age""","""panel on communicating national science foundation science and engineering information to data users ; committee on national statistics, division of behavioral and social sciences and education ; computer science and telecommunications board, division on engineering and physical sciences ; national research council of the national academies""","""washington, d.c. : national academies press, [2012] ©2012""","""electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)""",ab
746,"""data mining for the social sciences : an introduction""","""paul attewell and david b. monaghan""","""oakland, california : university of california press, 2015. ©2015""","""electronic books.""",9780520960596,"""nan""","""1 online resource.""",ab
747,"""data mining for the social sciences : an introduction""","""paul attewell and david b. monaghan ; with darren kwong""","""oakland, california : university of california press, [2015]""","""electronic books.""",9780520280977,"""nan""","""1 online resource.""",ab
751,"""data mining techniques for the life sciences""","""edited by oliviero carugo, frank eisenhaber""","""new york, n.y. : humana press, [2010] ©2010""","""electronic books.""",9781603272407,"""springer protocols (series) methods in molecular biology (clifton, n.j.) ; v. 609. 1064-3745""","""1 online resource (xii, 407 p.)""",ab
755,"""data analysis in forensic science : a bayesian decision perspective""","""franco taroni [and others]""","""chichester : john wiley and sons, ©2010.""","""electronic books.""",9780470665084,"""statistics in practice,""","""1 online resource (xvii, 369 p.).""",ab
756,"""data analysis in forensic science : a bayesian decision perspective""","""franco taroni ... [and others]""","""chichester, west sussex, uk : john wiley, 2010.""","""electronic books.""",9780470998359,"""statistics in practice,""","""1 online resource (xvii, 369 p.).""",ab
762,"""data integration in the life sciences : 6th international workshop, dils 2009, manchester, uk, july 20-22, 2009 ; proceedings""","""norman w. paton, paolo missier, cornelia hedeler (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642028793,"""lecture notes in computer science ; 5647. lncs sublibrary. sl 8, bioinformatics. lecture notes in computer science. lecture notes in bioinformatics.""","""1 online resource (x, 219 pages)""",ab
763,"""measurement and data analysis for engineering and science""","""patrick f. dunn, university of notre dame, indiana, usa""","""third edition. boca raton : crc press, taylor & francis, 2014. © 2015""","""electronic books.""",9781466595033,"""nan""","""1 online resource (xv, 608 pages)""",ab
764,"""measurement and data analysis for engineering and science""","""dunn, patrick f.""","""boston : mcgraw-hill higher education, [2005] ©2005""","""electronic books.""",9780072825381,"""mcgraw-hill series in mechanical engineering,mcgraw-hill series in mechanical and aerospace engineering,""","""1 online resource (xv, 608 pages)""",ab
765,"""measurement and data analysis for engineering and science""","""dunn, patrick f.""","""second edition. boca raton, fl : crc press/taylor & francis, [2010] ©2010""","""electronic books.""",9781439825686,"""nan""","""1 online resource (xv, 608 pages)""",ab
766,"""measurement and data analysis for engineering and science""","""patrick f. dunn, university of notre dame, indiana, usa""","""third edition. boca raton : crc press, taylor & francis, [2014]""","""electronic books.""",9781466594968,"""nan""","""1 online resource (xv, 608 pages)""",ab
768,"""analysis of multivariate social science data""","""david j. bartholomew ... [and others]""","""second edition. boca raton : crc press, [2008] ©2008""","""books""",9781584889601,"""statistics in the social and behavioral sciences series,""","""xi, 371 p.""",ab
790,"""categorical data analysis for the behavioral and social sciences""","""razia azen, cindy m. walker""","""new york : routledge, [2011] ©2011""","""electronic books.""",9780203843611,"""nan""","""1 online resource (xii, 283 pages)""",ab
791,"""categorical data analysis for the behavioral and social sciences""","""razia azen, cindy m. walker""","""new york : routledge, [2011] ©2011""","""electronic books.""",9781848728363,"""nan""","""1 online resource (xii, 283 pages)""",ab
792,"""introduction to quantitative data analysis in the behavioral and social sciences""","""albers, michael j.""","""somerset : john wiley & sons, incorporated, 2017.""","""electronic books.""",9781119290384,"""nan""","""1 online resource (256 p.)""",ab
824,"""data integration in the life sciences : 9th international conference, dils 2013, montreal, qc, canada, july 11-12, 2013 : proceedings""","""christopher j. o. baker, greg butler, igor jurisica ... [and others] (eds.)""","""berlin ; new york : springer, [2013] ©2013""","""electronic books.""",9783642394379,"""lecture notes in computer science. lecture notes in bioinformatics ; 7970,lncs sublibrary. bioinformatics,lecture notes in computer science. lecture notes in bioinformatics,lncs sublibrary. bioinformatics,""","""1 online resource (x, 140 pages)""",ab
847,"""data integration in the life sciences : 7th international conference, dils 2010, gothenburg, sweden, august 25-27, 2010 : proceedings""","""patrick lambrix, graham kemp (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642151200,"""lecture notes in computer science ; 6254,lecture notes in computer science. lecture notes in bioinformatics,lncs sublibrary. bioinformatics,lecture notes in computer science. lecture notes in bioinformatics,lncs sublibrary. bioinformatics,""","""1 online resource (x, 214 p.)""",ab
848,"""data mining techniques for the life sciences""","""edited by oliviero carugo, frank eisenhaber""","""new york, n.y. : humana press, [2010] ©2010""","""electronic books.""",9781603272407,"""springer protocols (series),methods in molecular biology (clifton, n.j.) ; v. 609,""","""1 online resource (xiii, 552 pages)""",ab
849,"""data, instruments, and theory : a dialectical approach to understanding science.""","""ackermann, robert john.""","""princeton, n.j. : princeton university press, [1985] ©1985""","""electronic books.""",9781400854936,"""princeton legacy library.""","""1 online resource (230 pages).""",ab
850,"""data, instruments, and theory : a dialectical approach to understanding science.""","""ackermann, robert john.""","""princeton, n.j. : princeton university press, [1985] ©1985""","""electronic books.""",9780691072968,"""princeton legacy library.""","""1 online resource (230 pages).""",ab
855,"""data integration in the life sciences : 8th international conference, dils 2012, college park, md, usa, june 28-29, 2012. proceedings""","""olivier bodenreider, bastien rance (eds.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books.""",9783642310409,"""lecture notes in computer science. lecture notes in bioinformatics,lecture notes in computer science ; 7348,lncs sublibrary. bioinformatics,lecture notes in computer science. lecture notes in bioinformatics,lncs sublibrary. bioinformatics,""","""1 online resource (x, 112 pages)""",ab
863,"""life science data mining""","""wong, stephen t. c. | li, chung-sheng,""","""singapore ; hackensack, nj : world scientific, [2006] ©2006""","""books""",9789812700643,"""science, engineering, and biology informatics ; v. 2,""","""xviii, 370 p.""",ab
872,"""big data in cognitive science""","""edited by michael n. jones""","""new york ; london : routledge, 2017. ©2017""","""books""",9781138791923,"""frontiers of cognitive psychology,""","""viii, 373 pages ; 23 cm.""",ab
879,"""geospatial data in a changing world : selected papers of the 19th agile conference on geographic information science""","""tapani sarjakoski, maribel yasmina santos, l. tiina sarjakoski, editors""","""switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319337838,"""lecture notes in geoinformation and cartography,""","""1 online resource (xiii, 415 pages)""",ab
883,"""linked data and knowledge graph : 7th chinese semantic web symposium and 2nd chinese web science conference, csws 2013, shanghai, china, august 12-16, 2013, revised selected papers""","""qi, guilin, | tang, jie | du, jianfeng, | pan, jeff z., | yu, yong,""","""berlin, heidelberg : springer berlin heidelberg : imprint: springer, 2013. ©2013""","""electronic books. | conference papers and proceedings.""",9783642540257,"""communications in computer and information science ; 406. 1865-0929""","""1 online resource (x, 247 pages)""",ab
893,"""data mining for the social sciences : an introduction""","""paul attewell and david b. monaghan""","""oakland, california : university of california press, 2015. ©2015""","""books""",9780520960596,"""nan""","""xi, 252 pages cm""",ab
894,"""data mining for the social sciences : an introduction""","""paul attewell and david b. monaghan ; with darren kwong""","""oakland, california : university of california press, [2015]""","""books""",9780520280977,"""nan""","""xi, 252 pages cm""",ab
