	Title	Author	Publication	Format	ISBN	Series	Physical Details
1806	Eddy covariance : a practical guide to measurement and data analysis  	Aubinet, Marc. | Vesala, Timo. | Papale, Dario.	Dordrecht ; Springer, Â©2012.	Electronic books.	9789400723511 electronic bk.9400723512 electronic bk.	Springer atmospheric sciences.	1 online resource (xxii, 438 pages)
1808	Reasoning web : semantic technologies for advanced query answering : 8th International Summer School 2012, Vienna, Austria, September 3-8, 2012. Proceedings  	Eiter, Thomas, | Krennwallner, Thomas.	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642331589 electronic bk.3642331580 electronic bk.	Lecture notes in computer science ; 7487. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
1809	Search computing : broadening web search  	Ceri, Stefano, | Brambilla, Marco,	Berlin ; Springer, Â©2012.	Electronic books.	9783642342134 electronic bk.3642342132 electronic bk.	Lecture notes in computer science ; 7538. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
1810	Agents and data mining interaction : 6th International Workshop on Agents and Data Mining Interaction, ADMI 2010, Toronto, ON, Canada, May 11, 2010 : revised selected papers  	Cao, Longbing,	Berlin	Electronic books. | Conference papers and proceedings.	9783642154201 3642154204 9783642154195 3642154190	Lecture notes in computer science ; 5980. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (x, 189 p.)
1811	Knowledge, Data and Computer-Assisted Decisions 	Schader, Martin.	Berlin, Heidelberg	Electronic books.	9783642842184 electronic bk.3642842186 electronic bk.	NATO ASI series. Series F, Computer and systems sciences ; 61.	1 online resource (viii, 421 pages)
1812	CMOS data converters for communications 	Gustavsson, Mikael.	New York	Electronic books.	0306473054 electronic bk.9780306473050 electronic bk.	Kluwer international series in engineering and computer science ; SECS 543. Kluwer international series in engineering and computer science. Analog circuits and signal processing.	1 online resource (xxi, 378 p.)
1814	Multisensor Fusion 	Hyder, A. K.	Dordrecht	Electronic books.	9789401005562 (electronic bk.) 9401005567 (electronic bk.)	NATO science series. Series II, Mathematics, physics, and chemistry ; 70.	1 online resource (960 pages).
1816	Pictorial Data Analysis 	Haralick, Robert M.	Berlin, Heidelberg	Electronic books.	9783642820175 electronic bk.3642820174 electronic bk.  print print	NATO ASI series. Series F, Computer and systems sciences ; 4.	1 online resource.
1818	Remote Sensing for Environmental Data in Albania: A Strategy for Integrated Management 	Buchroithner, Manfred F.	Dordrecht	Electronic books. | Conference proceedings.	9789401143578 electronic bk.9401143579 electronic bk.	NATO science series. Partnership sub-series 2, Environmental security ; 72.	1 online resource (256 pages).
1819	Transactions on computational science XV : special issue on advances in autonomic computing: formal engineering methods for nature-inspired computing systems  	Gavrilova, Marina L. | Tan, C. J. Kenneth | Phan, Cong-Vinh.	Berlin ; Springer, Â©2012.	Electronic books.	9783642285257 electronic bk.3642285252 electronic bk. print print	Lecture notes in computer science ; 7050.	1 online resource (x, 216 pages).
1820	Transporters in drug development : discovery, optimization, clinical study and regulation  	Sugiyama, Yuichi, | Steffansen, Bente,	New York	Electronic books.	9781461482291 electronic bk.1461482291 electronic bk.	AAPS advances in the pharmaceutical sciences series ; 7.	1 online resource (xiii, 317 pages)
1821	Increasing seismic safety by combining engineering technologies and seismological data : [proceedings of the NATO Advanced Research Workshop on Increasing Seismic Safety by...	Mucciarelli, Marco. | Herak, Marijan. | Cassidy, John.	Dordrecht	Electronic books. | Conference papers and proceedings.	9781402091964 1402091966	NATO science for peace and security series. Series C, Environmental security.	1 online resource (xvii, 382 pages)
1822	GeoSpatial visual analytics : geographical information processing and visual analytics for environmental security  	De Amicis, Raffaele. | Stojanovic, Radovan. | Conti, Giuseppe,	Dordrecht	Electronic books.	9789048128990 9048128994  pb pb hb hb	NATO science for peace and security series. Series C, Environmental security.	1 online resource.
1823	Desertification and risk analysis using high and medium resolution satellite data : training workshop on mapping desertification  	Marini, Alberto, | Talbi, Mohamed.	Dordrecht, the Netherlands	Electronic books.	9781402089374 1402089376  HB	NATO science for peace and security series. Series C, Environmental security.	1 online resource (ix, 273 pages)
1825	Information security practice and experience : 8th International Conference, ISPEC 2012, Hangzhou, China, April 9-12, 2012. Proceedings  	Ryan, Mark, | Smyth, Ben. | Wang, Guilin,	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642291012 electronic bk.3642291015 electronic bk.	Lecture notes in computer science ; 7232. LNCS sublibrary. SL 4, Security and cryptology.	1 online resource (xiii, 406 pages).
1826	The Oxford handbook of philosophy of science  	Humphreys, Paul, | Chakravartty, Anjan, | Morrison, Margaret, | Woody, Andrea,	New York, NY	Electronic books.	(hardcover	Oxford handbooks.	1 online resource (xxii, 917 pages).
1827	Assessing science understanding : a human constructivist view  	Mintzes, Joel J. | Wandersee, James H. | Novak, Joseph Donald. | Mintzes, Joel J.	San Diego		0124983650 (alk. paper)	Educational psychology series (San Diego, Calif.)	xxii, 386 p.
1828	Data privacy management and autonomous spontaneus [sic] security : 6th International Workshop, DPM 2011, and 4th International Workshop, SETOP 2011, Leuven, Belgium, September...	Garcia-Alfaro, Joaquin.	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642288791 electronic bk.3642288790 electronic bk.	Lecture notes in computer science ; 7122. LNCS sublibrary. SL 4, Security and cryptology.	1 online resource (xv, 318 pages).
1829	Principles of data mining 	Bramer, M. A. (Max A.), 1948-	London	Electronic books.	9781447148845 electronic bk.1447148843 electronic bk.	Undergraduate topics in computer science.	1 online resource.
1830	Advances in spatial databases : third international symposium, SSD '93, Singapore, June 23-25, 1993 : proceedings  	Abel, David | Ooi, Beng Chin,	Berlin ; Springer-Verlag, c1993.	Electronic books. | Conference proceedings.	9783540477655 (electronic bk.) 3540477659 (electronic bk.)	Lecture notes in computer science ; 692. 0302-9743	1 online resource (xiii, 529 p.)
1831	Provenance and annotation of data and processes : 4th International Provenance and Annotation Workshop, IPAW 2012, Santa Barbara, CA, USA, June 19-21, 2012, Revised selected...	Groth, Paul. | Frew, James.	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642342226 electronic bk.3642342221 electronic bk.	Lecture notes in computer science ; 7525. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
1832	The scientific practice of professional psychology  	Trierweiler, Steven J.	New York	Electronic books.	9781489919441 electronic bk.1489919449 electronic bk.	Applied clinical psychology.	1 online resource (xi, 312 pages)
1833	Transactions on data hiding and multimedia security VII 	Shi, Yun Q.	Berlin ; Springer, Â©2012.	Electronic books.	9783642286933 electronic bk.3642286933 electronic bk.	Lecture notes in computer science ; 7110.	1 online resource (viii, 114 pages).
1835	Citizen Science : Public Participation in Environmental Research  	Dickinson, Janis L., | Bonney, Rick, | Louv, Richard, | Fitzpatrick, John W.,	Ithaca	Electronic books.	9780801463952 (electronic bk.)0801463955 (electronic bk.) (cloth ; (cloth ;		1 online resource (xiv, 279 pages)
1837	Grading the nation's report card : research from the evaluation of NAEP  	Raju, Nambury S.	Washington, D.C.	Electronic books.	0585238502 (electronic bk.) 9780585238500 (electronic bk.)		1 online resource (x, 264 p.)
1838	Data security and security data : 27th British National Conference on Databases, BNCOD 27, Dundee, UK, June 29-July 1, 2010. Revised selected papers  	MacKinnon, Lachlan.	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642257049 electronic bk.3642257046 electronic bk.	Lecture notes in computer science ; 6121. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (x, 154 pages).
1839	Principles of geographical information systems  	Burrough, P. A.	Oxford		9780198742845 (pbk.)0198742843 (pbk.)		pages cm
1840	Handbook of big data  	BÃ¼hlmann, Peter, | Drineas, Petros, | Kane, Michael | Laan, M. J. van der,	Boca Raton, FL	Handbooks and manuals.	9781482249071 1482249073  (PDF ebook)	Chapman & Hall/CRC handbooks of modern statistical methods.	xvi, 464 pages
1841	Energy efficient data centers : first International Workshop, EÂ²DC 2012, Madrid, Spain, Mai 8, 2012, Revised selected papers  	Huusko, Jyrki.	Berlin ; Springer, Â©2012.	Electronic books.	9783642336454 electronic bk.3642336450 electronic bk. pbk. pbk.	Lecture notes in computer science ; 7396. LNCS sublibrary. SL 5, Computer communication networks and telecommunications.	1 online resource.
1842	Information technology in bio- and medical informatics : third International Conference, ITBAM 2012, Vienna, Austria, September 4-5, 2012. Proceedings  	BÃ¶hm, Christian,	Berlin ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642323959 electronic bk.3642323952 electronic bk.	Lecture notes in computer science ; 7451. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
1843	Databases in networked information systems : international workshop DNIS 2000, Aizu, Japan, December 4-6, 2000 : proceedings  	Bhalla, Subhash,	Berlin ; Springer, 2000.	Electronic books. | Conference proceedings.	9783540444312 (electronic bk.) 3540444319 (electronic bk.)	Lecture notes in computer science ; 1966. 0302-9743	1 online resource (viii, 245 p.)
1844	Sensor systems and software : 4th International ICST Conference, S-Cube 2013, Lucca, Italy, June 11-12, 2013, revised selected papers  	Zuniga, Marco, | Dini, Gianluca,	Cham	Electronic books. | Conference papers and proceedings.	9783319041667 electronic bk.3319041665 electronic bk.  print print	Lecture notes of the Institute for Computer Sciences, Social Informatics, and Telecommunications Engineering ; 122, 1867-8211	1 online resource (x, 159 pages)
1845	Transactions on large-scale data- and knowledge centered systems VII 	Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R.	Berlin	Electronic books.	9783642353321 electronic bk.3642353320 electronic bk.	Lecture notes in computer science ; 7720.	1 online resource.
1846	Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications  	Hameurlain, Abdelkader,	Berlin ; Springer, Â©2013.	Electronic books.	9783642412219 electronic bk.3642412211 electronic bk.	Lecture notes in computer science ; 8220.	1 online resource (x, 199 pages).
1847	Understanding spatial media  	Kitchin, Rob, | Lauriault, Tracey P., | Wilson, Matthew W.,	Los Angeles	Geospatial data. | Geospatial data.	9781473949676 (hbk.)147394967X (hbk.)9781473949683 (pbk.)1473949688 (pbk.)		x, 250 pages
1849	Social research methods : qualitative and quantitative approaches  	Neuman, W. Lawrence (William Lawrence), 1950-	Boston		0205353118 9780205353118 0205374077 9780205374076	Relevance of social research.	a viii, 584 p.
1850	Social network analysis  	Knoke, David.	Los Angeles,		9781412927499 (pbk.	Quantitative applications in the social sciences ; no. 07-154.	viii , 132 p.
1852	Research and development in clinical nursing practice 	Roe, Brenda H. | Webb, Christine.	London	Electronic books.	9780470699270 0470699272		1 online resource (xviii, 372 p.)
1853	Citizen science : public participation in environmental research  	Dickinson, Janis L., | Bonney, Rick,	Ithaca		9780801449116 (cloth		xv. 279 p.
1854	In search of elegance in the theory and practice of computation : essays dedicated to Peter Buneman  	Buneman, Peter, | Tannen, Val,	Heidelberg	Electronic books.	9783642416606 electronic bk.3642416608 electronic bk.	Lecture notes in computer science ; 8000. 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.	1 online resource (xii, 569 pages)
1855	Applied mathematics : data compression, spectral methods, fourier analysis, wavelets, and applications  	Chui, C. K.	Paris, France	Electronic books.	9789462390096 electronic bk.9462390096 electronic bk.  print print	Mathematics textbooks for science and engineering ; v.2.	1 online resource.
1856	New frontiers in applied data mining : PAKDD 2009 international workshops, Bangkok, Thailand, April 27-30, 2009 : revised selected papers  	Theeramunkong, Thanaruk.	Berlin	Electronic books. | Conference papers and proceedings.	9783642146404 3642146406	Lecture notes in computer science ; 5669. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xiv, 167 p.)
1857	Advances in knowledge discovery and data mining : 14th Pacific-Asia Conference, PAKDD 2010, Hyderabad, India, June 21-24, 2010 ; proceedings. Part I  	Zaki, Mohammed J.,	Berlin	Electronic books. | Conference papers and proceedings.	9783642136573 3642136575	Lecture notes in computer science. Lecture notes in artificial intelligence ; 6118. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xxiii, 500 p.).
1859	Advances in knowledge discovery and data mining : 14th Pacific-Asia Conference, PAKDD 2010, Hyderabad, India, June 21-24, 2010 ; proceedings. Part II  	Zaki, Mohammed J.,	Berlin	Electronic books. | Conference papers and proceedings.	9783642136726 3642136729	Lecture notes in computer science. Lecture notes in artificial intelligence ; 6119. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xvii, 518 p.).
1860	Integration of information and optimization models for routing in city logistics 	Ehmke, Jan Fabian.	New York	Electronic books.	9781461436287 electronic bk.1461436281 electronic bk.	International series in operations research & management science ; v.177.	1 online resource (xiv, 197 pages)
1861	Data and applications security and privacy XXVII : 27th Annual IFIP WG 11.3 Conference, DBSec 2013, Newark, NJ, USA, July 15-17, 2013, proceedings  	Wang, Lingyu, | Shafiq, Basit,	Heidelberg	Electronic books. | Conference papers and proceedings.	9783642392566 electronic bk.3642392563 electronic bk.	Lecture notes in computer science ; 7964. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xiii, 304 pages)
1863	Integrated flow modeling 	Fanchi, John R.	Amsterdam ; Elsevier, 2000.	Electronic books.	0444505008 9780444505002 9780080534817 (electronic) 0080534813 (electronic)	Developments in petroleum science ; 49.	1 online resource (xv, 287 p.)
1864	Business analytics : a practitioner's guide  	Saxena, Rahul Narain.	New York	Electronic books.	9781461460800 electronic bk.1461460808 electronic bk.  hardback hardback	International series in operations research & management science ; v.186.	1 online resource (xii, 162 pages)
1865	e-Research : transformation in scholarly practice  	Jankowski, Nick.	New York		9780415990288 0415990289	Routledge advances in research methods ; 1.	xv, 349 p.
1867	Database systems for advanced applications : 18th International Conference, DASFAA 2013, Wuhan, China, April 22-25, 2013. Proceedings. Part I  	Meng, Weiyi.	Berlin ; Springer, Â©2013.	Electronic books. | Conference papers and proceedings.	9783642374876 electronic bk.3642374875 electronic bk.	Lecture notes in computer science ; 7825. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
1868	New frontiers in applied data mining : PAKDD 2008 International Workshops, Osaka, Japan, May 20-23, 2008 : revised selected papers  	Chawla, Sanjay.	Berlin	Electronic books. | Conference papers and proceedings.	pbk.3642003982 9783642003981 9783642003998 3642003990	Lecture notes in computer science ; 5433. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xiv, 212 pages)
1869	Agents and data mining interaction : 4th international workshop, ADMI 2009, Budapest, Hungary, May 10-15, 2009 : revised selected papers  	Cao, Longbing,	Berlin ; Springer, Â©2009.	Electronic books. | Conference papers and proceedings.	9783642036033 ebook3642036031 ebook	Lecture notes in computer science ; 5680. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xii, 198 pages)
1871	Health data and knowledge management 2008 : proceedings of the Second Australasian Workshop on Health Data and Knowledge Management (HDKM 2008), Wollongong, NSW, Australia,...	Warren, James R.,	Darlinghurst, Australia	Electronic books. | Conference papers and proceedings.	1920682619 9781920682613	Australian computer science communications ; v. 30, no. 9. Conferences in research and practice in information technology series ; v. 80.	1 online resource (xiii, 74 pages)
1873	Machine learning and data mining in pattern recognition : second international workshop, MLDM 2001, Leipzig, Germany, July 25-27, 2001, proceedings  	Perner, Petra.	Berlin ; Springer, c2001.	Electronic books. | Conference proceedings.	9783540445968 (electronic bk.) 354044596X (electronic bk.)	Lecture notes in computer science ; 2123. Lecture notes in computer science. Lecture notes in artificial intelligence.	1 online resource (xi, 361 p.)
1874	Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  	Perner, Petra.	Berlin	Electronic books. | Conference papers and proceedings.	9783642030703 364203070X  pbk. pbk.	Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.	1 online resource (xiv, 824 pages)
1875	Advanced data mining and applications : 5th international conference, ADMA 2009, Beijing, China, August 17-19, 2009 : proceedings  	Huang, Ronghuai.	Berlin ; Springer, Â©2009.	Electronic books. | Conference papers and proceedings.	9783642033483 3642033482	Lecture notes in computer science ; 5678. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xxi, 807 pages)
1878	Advances in knowledge discovery and data mining : 15th Pacific-Asia Conference, PAKDD 2011, Shenzhen, China, May 24-27, 2011, proceedings. Part I  	Huang, Joshua Zhexue. | Cao, Longbing, | Srivastava, Jaideep.	Berlin	Electronic books. | Conference papers and proceedings.	9783642208416 electronic bk.364220841X electronic bk. soft cover	Lecture notes in computer science ; 6634. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xxiv, 564 pages).
1880	Advances in intelligent data analysis XV : 15th International Symposium, IDA 2016, Stockholm, Sweden, October 13-15, 2016, Proceedings  	BostrÃ¶m, Henrik, | Knobbe, Arno J., | Soares, Carlos A. Mota, | Papapetrou, Panagiotis,	Cham, Switzerland	Electronic books. | Conference papers and proceedings.	9783319463490 (electronic bk.)3319463497 (electronic bk.) (print)3319463489 9783319463483	Lecture notes in computer science ; 9897. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xiii, 404 pages)
1881	Data and applications security and privacy XXX : 30th Annual IFIP WG 11.3 Conference, DBSec 2016, Trento, Italy, July 18-20, 2015. Proceedings  	Ranise, Silvio, | Swarup, Vipin,	Switzerland	Electronic books. | Conference papers and proceedings.	9783319414836 (electronic bk.)3319414836 (electronic bk.) (print)	Lecture notes in computer science ; 9766. 1611-3349 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xi, 365 pages)
1882	Advances in intelligent data analysis XII : 12th International Symposium, IDA 2013, London, UK, October 17-19, 2013. Proceedings  	Tucker, Allan,	Heidelberg	Electronic books. | Conference papers and proceedings.	9783642413988 electronic bk.3642413986 electronic bk.	Lecture notes in computer science ; 8207. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xiv, 464 pages)
1883	Privacy and security issues in data mining and machine learning : international ECMLPKDD Workshop, PSDML 2010, Barcelona, Spain, September 24, 2010 : revised selected papers  	Dimitrakakis, Christos.	Berlin	Electronic books.	9783642198960 electronic bk.3642198961 electronic bk.	Lecture notes in computer science ; 6549. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (140 pages)
1886	Advances in intelligent data analysis XIII : 13th International Symposium, IDA 2014, Leuven, Belgium, October 30-November 1, 2014. Proceedings  	Blockeel, Hendrik, | Leeuwen, Matthijs van, | Vinciotti, Veronica,	Cham	Electronic books.	9783319125718 electronic bk.3319125710 electronic bk.	Lecture notes in computer science ; 8819. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xx, 394 pages)
1887	Data and applications security and privacy XXVIII : 28th Annual IFIP WG 11.3 Working Conference, DBSec 2014, Vienna, Austria, July 14-16, 2014 : proceedings  	Atluri, Vijay, | Pernul, GÃ¼nther,	Cham	Electronic books.	9783662439364 (electronic bk.) 3662439360 (electronic bk.)	Lecture notes in computer science ; 8566. 1611-3349 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xvii, 389 pages)
1889	Advances in intelligent data analysis XVI : 16th International Symposium, IDA 2017, London, UK, October 26-28, 2017, Proceedings  	Adams, Niall M., | Tucker, Allan, | Weston, David,	Cham, Switzerland	Electronic books.	9783319687650 (electronic bk.)3319687654 (electronic bk.) (print)	Lecture notes in computer science ; 10584. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xiii, 348 pages)
1890	Knowledge processing and data analysis : first international conference, KONT 2007, Novosibirsk, Russia, September 14-16, 2007, and first international conference, KPP 2007,...	Wolff, Karl Erich.	Heidelberg ; Springer, Â©2011.	Electronic books. | Conference papers and proceedings.	9783642221408 electronic bk.3642221408 electronic bk.	Lecture notes in computer science ; 6581. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xvi, 320 pages)
1892	Quantile regression for spatial data 	McMillen, Daniel P.	Berlin ; Springer, Â©2013.	Electronic books.	9783642318153 electronic bk.3642318150 electronic bk.	SpringerBriefs in regional science.	1 online resource (ix, 66 pages)
1894	Data and applications security and privacy XXV : 25th Annual IFIP WG 11.3 Conference, DBSec 2011, Richmond, VA, USA, July 11-13, 2011, Proceedings  	Li, Yingjiu.	Heidelberg ; Springer, Â©2011.	Electronic books. | Conference papers and proceedings.	9783642223488 electronic bk.3642223486 electronic bk. soft cover	Lecture notes in computer science ; 6818. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xi, 308 pages)
1895	Economic workbook and data; a tutorial volume for students  	Trotman-Dickenson, D. I. (Donata Irena), 1929-	Oxford, New York, Pergamon Press [1969]	Electronic books. | Examinations.	9781483158112 (electronic bk.)148315811X (electronic bk.) (flexicover)	Commonwealth and international library. Social administration, training, economics, and production division.	1 online resource (ix, 231 pages).
1897	Data privacy management and autonomous spontaneous security : 5th international workshop, DPM 2010 and 3rd international workshop, SETOP 2010, Athens, Greece, September 23, 2010...	Garcia-Alfaro, Joaquin.	Berlin ; Springer, Â©2011.	Electronic books. | Conference papers and proceedings.	9783642193484 electronic bk.364219348X electronic bk.	Lecture notes in computer science ; 6514. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.	1 online resource (xiv, 258 pages)
1899	Semantics in data and knowledge bases : Third International Workshop, SDKB 2008, Nantes, France, March 29, 2008 : revised selected papers  	Schewe, Klaus-Dieter. | Thalheim, B.	Berlin ; Springer, Â©2008.	Electronic books. | Conference papers and proceedings.	9783540885948 PDF3540885943 PDF print print	Lecture notes in computer science ; 4925. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (x, 214 pages).
1902	Ethics and policy of biometrics : third International Conference on Ethics and Policy of Biometrics and International Data Sharing, ICEB 2010, Hong Kong, January 4-5, 2010 :...	Kumar, Ajay. | Zhang, David,	Berlin ; Springer, c2010.	Electronic books.	9783642125959 3642125956  pbk. pbk.	Lecture notes in computer science ; 6005. LNCS sublibrary. SL 4, Security and cryptology.	1 online resource (viii, 168 p.)
1903	Data and applications security and privacy XXIX : 29th Annual IFIP WG 11.3 Working Conference, DBSec 2015, Fairfax, VA, USA, July 13-15, 2015, proceedings  	Samarati, Pierangela,	Cham	Electronic books. | Conference papers and proceedings.	9783319208107 (electronic bk.)3319208101 (electronic bk.) 3319208098 9783319208091	Lecture notes in computer science ; 9149. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xi, 364 pages)
1905	Bayesian networks and influence diagrams : a guide to construction and analysis  	KjrÃ¦ulff, Uffe B.	New York, NY	Electronic books.	9781461451044 electronic bk.1461451043 electronic bk.	Information science and statistics ; 22.	1 online resource.
1906	Data privacy management and autonomous spontaneous security : 4th international workshop, DPM 2009, and second international workshop, SETOP 2009, St. Malo, France, September...	Garcia-Alfaro, Joaquin.	Berlin	Electronic books. | Conference papers and proceedings.	9783642112072 3642112072	Lecture notes in computer science ; 5939. LNCS sublibrary. SL 4, Security and cryptology.	1 online resource (xiv, 267 p.)
1907	Transactions on rough sets XV 	Peters, James F. | Skowron, Andrzej.	Berlin ; Springer, Â©2012.	Electronic books.	9783642319037 electronic bk.3642319033 electronic bk. print print	Lecture notes in computer science ; 7255.	1 online resource
1908	Secure data management : 6th VLDB workshop, SDM 2009, Lyon, France, August 28, 2009 : proceedings  	Jonker, Willem, | PetkoviÄ, Milan.	Berlin ; Springer, Â©2009.	Electronic books. | Conference papers and proceedings.	9783642042195 3642042198  pbk. pbk.	Lecture notes in computer science ; 5776. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (viii, 171 pages)
1909	Pharmaceutical competitive intelligence for the regulatory affairs professional 	Huml, Raymond A.	New York, NY	Electronic books.	9781461436829 electronic bk.1461436826 electronic bk.	SpringerBriefs in pharmaceutical science & drug development.	1 online resource.
1910	Interworking of wireless LANs and cellular networks 	Song, Wei.	New York, NY	Electronic books.	9781461443797 electronic bk.1461443792 electronic bk.	SpringerBriefs in computer science.	1 online resource.
1911	The computer boys take over : computers, programmers, and the politics of technical expertise  	Ensmenger, Nathan, 1972-	Cambridge, Mass.	Electronic books. | History.	9780262289351 (electronic bk.)0262289350 (electronic bk.) (hardcover ; (hardcover ;	History of computing.	1 online resource (x, 320 pages)
1912	Third International Conference on Advances in Pattern Recognition : ICAPR 2005, Bath, UK, August 22-25, 2005 : proceedings  	Singh, Sameer,	Berlin ; New York	Electronic books. | Conference papers and proceedings.	9783540287582 electronic bk.3540287582 electronic bk.	Lecture notes in computer science ; 3686-3687.	1 online resource (2 v.)
1913	Geographies of Mars : seeing and knowing the red planet  	Lane, K. Maria D.	Chicago		9780226470788 (cloth		xiii, 266 p.
1914	Gait analysis : an introduction  	Whittle, Michael.	Edinburgh ; Butterworth-Heinemann, 2007.		9780750688833 0750688831		255 pages
1916	Discovery science : 15th International Conference, DS 2012, Lyon, France, October 29-31, 2012 : proceedings  	Ganascia, Jean-Gabriel, | Lenca, Philippe, | Petit, Jean-Marc,	Heidelberg ; Springer, Â©2012.	Electronic books. | Conference papers and proceedings.	9783642334924 electronic bk.364233492X electronic bk. print	Lecture notes in computer science ; 7569. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xiii, 327 pages)
1917	Transactions on large-scale data- and knowledge-centered systems VIII : special issue on advances in data warehousing and knowledge discovery  	Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Cuzzocrea, Alfredo, | Dayal, Umeshwar,	Heidelberg	Electronic books. | Conference papers and proceedings.	9783642375743 electronic bk.364237574X electronic bk.	Lecture notes in computer science ; 7790.	1 online resource (ix, 196 pages)
1918	Network analysis  	Knoke, David.	Beverly Hills, Calif.		080391914X (pbk.)9780803919143 (pbk.)	Quantitative applications in the social sciences ; no. 07-028.	96 pages
1919	Knowledge Synthesis : Western and Eastern Cultural Perspectives  	Nakamori, Yoshiteru,	Tokyo	Electronic books.	9784431552185 (electronic bk.)4431552189 (electronic bk.) (print) (print)	Translational systems sciences ; v. 5. 2197-8832	1 online resource (ix, 210 pages)
1920	Organizations' environmental performance indicators : measuring, monitoring, and management  	Dada, Ali. | Stanoevska-Slabeva, Katarina. | GÃ³mez, Jorge Marx.	Berlin ; Springer, 2013.	Electronic books.	9783642327209 electronic bk.3642327206 electronic bk.	Environmental science and engineering (Springer (Firm)). Environmental engineering.	1 online resource.
1921	Rough sets, fuzzy sets, data mining, and granular computing : 14th International Conference, RSFDGrC 2013, Halifax, NS, Canada, October 11-14, 2013. Proceedings  	Ciucci, Davide,	Heidelberg	Electronic books. | Conference papers and proceedings.	9783642412189 electronic bk.3642412181 electronic bk. Print Print	Lecture notes in computer science. Lecture notes in artificial intelligence ; 8170. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xiv, 398 pages)
